
  The input file had          169  events
 station not found VTUR 
 station not found VIRH 
 station not found VKOL 
 station not found VBOK 
 station not found VTAM 
 station not found VBUT 
 station not found VSAR 
 station not found VAVU 
 station not found VASA 
 station not found VLEB 
 station not found VPOT 
 station not found VNAR 
 station not found VANG 
 station not found VWUS 
 station not found VEBE 
 station not found VSUL 
 station not found VSAL 
 station not found OS01 
 station not found OS08 
 station not found OS05 
 station not found OS02 
 station not found VESP 
 station not found OS04 
 station not found OS07 
 station not found OS06 
 station not found OS03 
# 2008  6  1 10 27 38.9 -15.520  167.482 127.7 0.0 0.0 0.0 0.3   63
VBOK  17.00 0.50 P
VBOK  29.99 0.75 S
VIRH  16.39 0.25 P
VASA  17.42 0.75 P
VAVU  17.54 0.75 P
VTUR  16.81 0.50 P
VAVU  31.95 0.25 S
VTUR  30.16 0.25 S
VTAM  17.20 0.75 P
VPOT  18.10 0.75 P
VKOL  17.52 0.50 P
VKOL  31.50 0.75 S
VNAR  18.22 0.75 P
VBUT  17.96 0.75 P
VBUT  32.45 0.25 S
OS08  17.74 0.75 P
VEBE  18.49 0.75 P
VLEB  18.16 0.75 P
VESP  18.56 0.75 P
VSAR  18.33 0.75 P
VSAR  33.16 0.50 S
VANG  19.20 1.00 P
VANG  34.76 0.75 S
OS05  18.51 0.50 P
VSAL  19.18 0.50 P
OS07  18.78 0.50 P
OS04  19.72 0.50 P
OS02  19.74 0.75 P
OS01  20.18 0.75 P
OS03  21.00 0.50 P
# 2008  6  1 10 32 59.3 -17.333  170.434 700.0 0.0 0.0 0.0 0.0   64
VIRH  97.30 0.25 P
VTUR  97.90 0.75 P
VKOL  98.59 0.75 P
VBUT  98.93 0.75 P
VSAR  99.40 0.50 P
VANG 100.06 0.75 P
# 2008  6  1 10 36 59.3 -16.567  167.186  20.0 0.0 0.0 0.0 0.5   65
OS10   7.16 1.00 P
VLEV   8.10 1.00 P
VLAK   9.43 1.00 P
VLAK  17.44 0.75 S
OS09   9.00 1.00 P
VESP  10.89 1.00 P
VNAR  11.21 1.00 P
OS07  10.82 0.75 P
OS06  11.70 0.75 P
VPOT  12.59 0.75 P
OS08  13.27 1.00 P
OS05  13.64 0.75 P
VASA  14.49 0.50 P
VASA  25.91 0.75 S
OS04  14.31 0.50 P
VAVU  16.15 0.75 P
VBOK  29.37 0.50 S
VSAL  16.53 0.75 P
VEBE  17.99 0.75 P
OS03  16.80 1.00 P
OS02  16.39 0.75 P
VTAM  18.64 0.50 P
VTAM  33.67 0.75 S
VIRH  18.86 0.75 P
VIRH  33.55 0.50 S
OS01  18.63 0.75 P
VBUT  20.36 0.75 P
VBUT  36.08 0.25 S
VTUR  20.67 0.50 P
VTUR  36.85 0.75 S
VKOL  22.48 0.50 P
VKOL  39.10 0.50 S
VSAR  39.42 0.75 S
# 2008  6  1 10 41 22.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   66
# 2008  6  1 10 43 19.4 -13.795  166.213  34.8 0.0 0.0 0.0 0.1   67
VSAR  25.16 0.75 P
VWUS  25.41 0.25 P
VKOL  26.09 1.00 P
VBUT  26.69 1.00 P
VLEB  27.34 0.50 P
VTUR  27.31 0.75 P
VTUR  49.15 0.25 S
VIRH  29.16 1.00 P
VAVU  31.24 0.75 P
# 2008  6  1 10 46  1.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   68
# 2008  6  1 10 46 37.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   69
# 2008  6  1 10 58 44.4 -14.769  167.513 114.6 0.0 0.0 0.0 0.2   70
VKOL  17.26 0.50 P
VSAR  17.94 0.75 P
VSAR  31.96 0.75 S
VIRH  17.83 0.50 P
VIRH  32.88 0.75 S
VBUT  33.37 0.50 P
VBUT  33.37 1.00 S
# 2008  6  1 11  5  2.7 -15.269  167.374 116.1 0.0 0.0 0.0 0.1   71
VTUR  15.04 0.25 P
VTUR  27.31 0.25 S
VKOL  15.55 0.25 P
VIRH  15.24 0.25 P
VTAM  28.44 0.50 S
VSAR  16.05 0.50 P
VSAR  28.98 0.25 S
VBUT  15.95 0.75 P
VBUT  28.75 0.25 S
VLEB  16.23 0.50 P
VAVU  16.45 0.75 P
VANG  16.83 0.75 P
# 2008  6  1 11  6 42.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   72
VAVU  29.25 0.75 P
VIRH  27.38 0.75 P
VLEB  25.55 0.50 P
# 2008  6  1 11 19  8.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   73
# 2008  6  1 11 26 33.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   74
# 2008  6  1 11 40  1.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   75
# 2008  6  1 11 40  2.8 -14.688  167.217  82.3 0.0 0.0 0.0 0.3   76
VKOL  13.45 0.75 P
VKOL  24.08 0.50 S
VSAR  14.22 0.50 P
VSAR  25.50 0.25 S
VTUR  14.25 0.50 P
VANG  15.23 0.75 P
VANG  26.99 0.75 S
VBUT  15.07 0.75 P
VBUT  27.13 0.50 S
VIRH  15.39 0.75 P
VIRH  27.81 0.50 S
VLEB  15.88 0.75 P
VLEB  28.28 0.50 S
VTAM  15.73 0.75 P
VWUS  16.73 0.75 P
VEBE  17.77 0.25 P
VSUL  18.93 0.50 P
VAVU  17.68 0.75 P
VPOT  20.74 0.75 P
VESP  21.81 0.50 P
# 2008  6  1 11 49 15.8 -16.439  167.018  25.0 0.0 0.0 0.0 0.4   77
OS10   5.18 0.75 P
OS09   6.29 1.00 P
VLEV   7.67 0.75 P
OS07   8.39 1.00 P
OS06   8.78 1.00 P
VESP   9.62 0.75 P
VLAK   9.54 0.75 P
