 N#  STAT PH  dTime W1 W2     dZ    dLa    dLo    Mag SEED_name 
 16 VSARA  S   0.04  0  2   12.9   -7.0   -3.3    2.0 2008-06-01-0319-30S.VNRC__100_MSEED 
 19 VANGO  P   0.08  0  0    6.9   -4.6   -3.8    1.5 2008-06-01-0343-56S.VNRC__100_MSEED 
 19 VBUTM  P   0.00  0  0    6.9   -4.6   -3.8    1.5 2008-06-01-0343-56S.VNRC__100_MSEED 
 19 VBUTM  S   0.05  1  1    6.9   -4.6   -3.8    1.5 2008-06-01-0343-56S.VNRC__100_MSEED 
 19 VIRHO  S   0.05  1  2    6.9   -4.6   -3.8    1.5 2008-06-01-0343-56S.VNRC__100_MSEED 
 19 VLEBE  P   0.00  1  1    6.9   -4.6   -3.8    1.5 2008-06-01-0343-56S.VNRC__100_MSEED 
 19 VLEBE  S   0.30  1  2    6.9   -4.6   -3.8    1.5 2008-06-01-0343-56S.VNRC__100_MSEED 
 19 VSARA  P   0.01  0  0    6.9   -4.6   -3.8    1.5 2008-06-01-0343-56S.VNRC__100_MSEED 
 22 OS01   P  -0.11  0  0  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 OS04   P  -0.05  0  2  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VANGO  P   0.02  1  0  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VANGO  S  -0.43  2  2  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VAVUN  P   0.03  0  2  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VBUTM  P   0.02  0  1  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VBUTM  S  -0.34  1  1  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VIRHO  P   0.28  0  2  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VKOLH  P   0.02  0  1  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VKOLH  S  -0.44  1  2  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VLEBE  S  -0.33  0  1  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VSARA  P   0.05  0  0  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VSARA  S  -0.54  1  2  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VTAMB  P   0.05  2  1  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VTAMB  S  -0.25  1  3  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VTURT  P   0.07  2  1  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VTURT  S  -0.56  1  3  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 22 VWUSI  P   0.06  0  0  -10.2    6.2   -1.6    2.3 2008-06-01-0405-42S.VNRC__100_MSEED 
 23 OS04   P   0.02  0  1 -146.2  112.3 -142.7    2.0 2008-06-01-0414-28S.VNRC__100_MSEED 
 23 VSARA  P   0.13  2  1 -146.2  112.3 -142.7    2.0 2008-06-01-0414-28S.VNRC__100_MSEED 
 25 VANGO  P  -0.24  2  1  -20.1   15.6   22.2    1.9 2008-06-01-0429-02S.VNRC__100_MSEED 
 25 VAVUN  P   0.10  2  2  -20.1   15.6   22.2    1.9 2008-06-01-0429-02S.VNRC__100_MSEED 
 25 VBUTM  P  -0.10  0  2  -20.1   15.6   22.2    1.9 2008-06-01-0429-02S.VNRC__100_MSEED 
 25 VBUTM  S  -0.38  1  2  -20.1   15.6   22.2    1.9 2008-06-01-0429-02S.VNRC__100_MSEED 
 25 VIRHO  P  -0.06  1  1  -20.1   15.6   22.2    1.9 2008-06-01-0429-02S.VNRC__100_MSEED 
 25 VIRHO  S   0.01  1  3  -20.1   15.6   22.2    1.9 2008-06-01-0429-02S.VNRC__100_MSEED 
 26 VASAV  S  -0.23  1  3  -52.9    9.3    5.3    1.4 2008-06-01-0446-09S.VNRC__100_MSEED 
 28 OS04   P   0.03  2  1   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 OS05   P   0.01  1  1   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VANGO  P  -0.02  0  2   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VASAV  P  -0.35  1  3   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VASAV  S  -1.10  1  3   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VAVUN  P  -0.02  0  1   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VBOKI  S   0.03  1  1   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VBUTM  P   0.02  0  0   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VIRHO  P   0.05  0  1   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
